observation_id,event_id,location_name_raw,depth_text_raw,traffic_text_raw,depth_min_cm,depth_max_cm,traffic_status,observed_at_local,as_of_local,is_flooded,source_grade,source_publisher,source_url,source_visualisation_id,source_visualisation_version,source_updated_at_utc
VNE_20251007_107,hanoi_matmo_2025_10_07,Cổ Linh ( đoạn trường học),Ngập sâu cục bộ 20 - 30 cm,Lúc 7h00 các phương tiện không lưu thông được,20,30,impassable,2025-10-07T07:00:00+07:00,2025-10-07T10:00:00+07:00,True,B,VnExpress,https://vnexpress.net/ha-noi-mua-lon-nhieu-tuyen-pho-nguy-co-ngap-4948058.html,25498819,141,2025-10-07T04:14:14.057000+00:00
VNE_20251007_108,hanoi_matmo_2025_10_07,Ngọc Thụy ( đoạn gầm cầu đường sắt LB),Ngập sâu cục bộ 30 - 40 cm,Lúc 7h00 các phương tiện không lưu thông được,30,40,impassable,2025-10-07T07:00:00+07:00,2025-10-07T10:00:00+07:00,True,B,VnExpress,https://vnexpress.net/ha-noi-mua-lon-nhieu-tuyen-pho-nguy-co-ngap-4948058.html,25498819,141,2025-10-07T04:14:14.057000+00:00
VNE_20251007_109,hanoi_matmo_2025_10_07,Phố Ngọc Lâm,30 cm,Lúc 10h00 các phương tiện không lưu thông được,30,30,impassable,2025-10-07T10:00:00+07:00,2025-10-07T10:00:00+07:00,True,B,VnExpress,https://vnexpress.net/ha-noi-mua-lon-nhieu-tuyen-pho-nguy-co-ngap-4948058.html,25498819,141,2025-10-07T04:14:14.057000+00:00
VNE_20251007_110,hanoi_matmo_2025_10_07,Đường Quyết Thắng ( CCN Yên Nghĩa),TB 50 cm,Lúc 10h00 các phương tiện không lưu thông được,50,50,impassable,2025-10-07T10:00:00+07:00,2025-10-07T10:00:00+07:00,True,B,VnExpress,https://vnexpress.net/ha-noi-mua-lon-nhieu-tuyen-pho-nguy-co-ngap-4948058.html,25498819,141,2025-10-07T04:14:14.057000+00:00
VNE_20251007_111,hanoi_matmo_2025_10_07,Đường Nguyễn Trác từ Km7+300 đến Km 7+800,TB 40 cm,Lúc 10h00 các phương tiện không lưu thông được,40,40,impassable,2025-10-07T10:00:00+07:00,2025-10-07T10:00:00+07:00,True,B,VnExpress,https://vnexpress.net/ha-noi-mua-lon-nhieu-tuyen-pho-nguy-co-ngap-4948058.html,25498819,141,2025-10-07T04:14:14.057000+00:00
VNE_20251007_112,hanoi_matmo_2025_10_07,Đường Thanh Bình,TB 40 cm,Lúc 10h00 các phương tiện không lưu thông được,40,40,impassable,2025-10-07T10:00:00+07:00,2025-10-07T10:00:00+07:00,True,B,VnExpress,https://vnexpress.net/ha-noi-mua-lon-nhieu-tuyen-pho-nguy-co-ngap-4948058.html,25498819,141,2025-10-07T04:14:14.057000+00:00
VNE_20251007_113,hanoi_matmo_2025_10_07,Đường Quang Trung Km12+700-KM12+900,TB 50 cm,Lúc 10h00 các phương tiện không lưu thông được,50,50,impassable,2025-10-07T10:00:00+07:00,2025-10-07T10:00:00+07:00,True,B,VnExpress,https://vnexpress.net/ha-noi-mua-lon-nhieu-tuyen-pho-nguy-co-ngap-4948058.html,25498819,141,2025-10-07T04:14:14.057000+00:00
VNE_20251007_114,hanoi_matmo_2025_10_07,Đường Quốc lộ 6 Km15+300,TB 35-40 cm,Lúc 10h00 các phương tiện không lưu thông được,35,40,impassable,2025-10-07T10:00:00+07:00,2025-10-07T10:00:00+07:00,True,B,VnExpress,https://vnexpress.net/ha-noi-mua-lon-nhieu-tuyen-pho-nguy-co-ngap-4948058.html,25498819,141,2025-10-07T04:14:14.057000+00:00
VNE_20251007_115,hanoi_matmo_2025_10_07,Đường Quốc Nông Quốc Chấn,30-40 cm,Lúc 10h00 các phương tiện không lưu thông được,30,40,impassable,2025-10-07T10:00:00+07:00,2025-10-07T10:00:00+07:00,True,B,VnExpress,https://vnexpress.net/ha-noi-mua-lon-nhieu-tuyen-pho-nguy-co-ngap-4948058.html,25498819,141,2025-10-07T04:14:14.057000+00:00
VNE_20251007_116,hanoi_matmo_2025_10_07,Đường Lê Lai,TB 40 cm,Lúc 10h00 các phương tiện không lưu thông được,40,40,impassable,2025-10-07T10:00:00+07:00,2025-10-07T10:00:00+07:00,True,B,VnExpress,https://vnexpress.net/ha-noi-mua-lon-nhieu-tuyen-pho-nguy-co-ngap-4948058.html,25498819,141,2025-10-07T04:14:14.057000+00:00
VNE_20251007_117,hanoi_matmo_2025_10_07,Phố Hạnh Hoa và  phố Xa La,TB 30-40 cm,Lúc 10h00 các phương tiện không lưu thông được,30,40,impassable,2025-10-07T10:00:00+07:00,2025-10-07T10:00:00+07:00,True,B,VnExpress,https://vnexpress.net/ha-noi-mua-lon-nhieu-tuyen-pho-nguy-co-ngap-4948058.html,25498819,141,2025-10-07T04:14:14.057000+00:00
VNE_20251007_118,hanoi_matmo_2025_10_07,Bà Triệu kéo dài,TB 50 cm,Lúc 10h00 các phương tiện không lưu thông được,50,50,impassable,2025-10-07T10:00:00+07:00,2025-10-07T10:00:00+07:00,True,B,VnExpress,https://vnexpress.net/ha-noi-mua-lon-nhieu-tuyen-pho-nguy-co-ngap-4948058.html,25498819,141,2025-10-07T04:14:14.057000+00:00
VNE_20251007_119,hanoi_matmo_2025_10_07,Đường Tô hiệu từ ngã ba Cầu Đơ cho đến ngã tư Bà Triệu,30-40 cm,Lúc 10h00 các phương tiện không lưu thông được,30,40,impassable,2025-10-07T10:00:00+07:00,2025-10-07T10:00:00+07:00,True,B,VnExpress,https://vnexpress.net/ha-noi-mua-lon-nhieu-tuyen-pho-nguy-co-ngap-4948058.html,25498819,141,2025-10-07T04:14:14.057000+00:00
VNE_20251007_120,hanoi_matmo_2025_10_07,Đường Lê Lợi từ ngã tư Tô Hiệu đến ngã tư Hoàng Hoa Thám,30-40 cm,Lúc 10h00 các phương tiện không lưu thông được,30,40,impassable,2025-10-07T10:00:00+07:00,2025-10-07T10:00:00+07:00,True,B,VnExpress,https://vnexpress.net/ha-noi-mua-lon-nhieu-tuyen-pho-nguy-co-ngap-4948058.html,25498819,141,2025-10-07T04:14:14.057000+00:00
VNE_20251007_121,hanoi_matmo_2025_10_07,Phố Cửa Quán và Tuyến N41 N42 N42,80-90 cm,Lúc 10h00 các phương tiện không lưu thông được,80,90,impassable,2025-10-07T10:00:00+07:00,2025-10-07T10:00:00+07:00,True,B,VnExpress,https://vnexpress.net/ha-noi-mua-lon-nhieu-tuyen-pho-nguy-co-ngap-4948058.html,25498819,141,2025-10-07T04:14:14.057000+00:00
VNE_20251007_122,hanoi_matmo_2025_10_07,Phố Đội Cấn,40 cm,Lúc 10h00 các phương tiện không lưu thông được,40,40,impassable,2025-10-07T10:00:00+07:00,2025-10-07T10:00:00+07:00,True,B,VnExpress,https://vnexpress.net/ha-noi-mua-lon-nhieu-tuyen-pho-nguy-co-ngap-4948058.html,25498819,141,2025-10-07T04:14:14.057000+00:00
VNE_20251007_123,hanoi_matmo_2025_10_07,Khuất Duy Tiến - Trần Duy Hưng,50 cm,Lúc 10h00 các phương tiện không lưu thông được,50,50,impassable,2025-10-07T10:00:00+07:00,2025-10-07T10:00:00+07:00,True,B,VnExpress,https://vnexpress.net/ha-noi-mua-lon-nhieu-tuyen-pho-nguy-co-ngap-4948058.html,25498819,141,2025-10-07T04:14:14.057000+00:00
